query_id,corpus_id
q82d4c6ec,d8e404704
q82d4c6ec,d87914156
q82d4c6ec,d8a3219a8
q82d4c6ec,d8c22a07a
q82d4c6ec,d88e1c5b2
q82d4c6ec,d8cb2d618
q82d4c6ec,d88be204e
q82d4c6ec,d8bcdd900
q82d4c6ec,d89c4f74c
q82d4c6ec,d86cf72ce
q855a35a0,d89a6ea36
q855a35a0,d8ed18ca0
q855a35a0,d885f420e
q855a35a0,d8ab110f0
q855a35a0,d86a04616
q855a35a0,d886a1080
q855a35a0,d8f7e6ba0
q855a35a0,d8d0c34e2
q855a35a0,d8f3eb546
q855a35a0,d88d47cc2
q85384530,d8ce7fc30
q85384530,d8a86226e
q85384530,d862c3eec
q85384530,d8aec2fdc
q85384530,d8b09080a
q85384530,d88e580da
q85384530,d89a9cf26
q85384530,d8d9d07ec
q85384530,d8115b3e8
q85384530,d8efed354
q842c8af2,d88465f0a
q842c8af2,d8bda35a6
q842c8af2,d8bb3cbb4
q842c8af2,d8a971df8
q842c8af2,d842c8cfa
q842c8af2,d8ec31648
q842c8af2,d8e3eb77c
q842c8af2,d8bd67506
q842c8af2,d8ed31994
q842c8af2,d8e8a662c
q85451756,d8646ec7e
q85451756,d8ac36d40
q85451756,d89e1e73a
q85451756,d8e09d12e
q85451756,d828a5a26
q85451756,d81be6718
q85451756,d8b57ce5e
q85451756,d8924d596
q85451756,d8a321a02
q85451756,d8f8bc7fa
q85737826,d8ee058c0
q85737826,d8753470c
q85737826,d8d4f7194
q85737826,d897e4450
q85737826,d8f4a86a0
q85737826,d8177a896
q85737826,d889a7edc
q85737826,d8890902a
q85737826,d8cb2d672
q85737826,d8b781ee8
q827742c4,d8a9b4ffe
q827742c4,d8c30527e
q827742c4,d8f458fc4
q827742c4,d8c13b57e
q827742c4,d810b78b0
q827742c4,d8f73def6
q827742c4,d870d5f1c
q827742c4,d88c3582a
q827742c4,d87fed8b0
q827742c4,d8bb57748
q81e448f2,d8261505e
q81e448f2,d87fc1d1e
q81e448f2,d8f8aa8a2
q81e448f2,d8223560a
q81e448f2,d8673d52c
q81e448f2,d88d47cfe
q81e448f2,d8a6069de
q81e448f2,d8159e28e
q81e448f2,d8c54020a
q81e448f2,d8d3a9c1a
q82305cc4,d815f4936
q82305cc4,d8db0b1d4
q82305cc4,d8db0b21a
q82305cc4,d87adb1ba
q82305cc4,d86e7a89e
q82305cc4,d8a27a662
q82305cc4,d8af691c0
q82305cc4,d8402e5a8
q82305cc4,d81907006
q82305cc4,d86617468
q81a100a6,d81a10218
q81a100a6,d8f31013a
q81a100a6,d8247e01a
q81a100a6,d86a58be4
q81a100a6,d8b93b0e0
q81a100a6,d83ac85fa
q81a100a6,d8e8f9eda
q81a100a6,d8670e790
q81a100a6,d8165917e
q81a100a6,d8ec13184
q847a1ac4,d8992635e
q847a1ac4,d8b0c0ca8
q847a1ac4,d89cb9a3e
q847a1ac4,d87f3c42a
q847a1ac4,d8f66c612
q847a1ac4,d810b7770
q847a1ac4,d810b78b0
q847a1ac4,d8f86df24
q847a1ac4,d860c5168
q847a1ac4,d8f4a86dc
q82bb179c,d82afa5ce
q82bb179c,d87ec1c16
q82bb179c,d8da2d456
q82bb179c,d8bfc2a30
q82bb179c,d8acf02b8
q82bb179c,d829909b8
q82bb179c,d8af9da56
q82bb179c,d8af9db64
q82bb179c,d8114396e
q82bb179c,d834276b0
q82787914,d89813a16
q82787914,d85f61e70
q82787914,d88863d0a
q82787914,d89813a84
q82787914,d892f2690
q82787914,d8630ab80
q82787914,d8a9b4ffe
q82787914,d8e1a7df8
q82787914,d89a6ea72
q82787914,d8a751dde
q847c4394,d83b9f406
q847c4394,d8826eddc
q847c4394,d8e503e7a
q847c4394,d8c9a7816
